ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
467434,1,0,39,1,3,0.0,2,3.0,0,2
460956,0,1,47,1,0,1.0,0,4.0,2,3
465179,0,1,61,1,0,1.0,1,2.0,5,3
463338,1,1,32,0,3,1.0,2,2.0,2,4
467066,1,1,55,0,0,0.0,2,1.0,5,2
459976,0,0,38,1,0,0.0,2,1.0,5,4
461334,1,1,63,1,0,0.0,1,2.0,5,3
465108,1,1,58,1,1,1.0,0,2.0,5,3
462600,1,1,30,0,2,3.0,0,3.0,3,4
464144,1,1,60,1,0,0.0,0,4.0,5,3
466911,1,1,68,0,4,1.0,1,7.0,5,2
462806,1,1,52,0,0,0.0,2,3.0,3,1
463426,1,1,38,0,4,0.0,1,5.0,5,1
464065,0,1,35,1,5,10.0,2,2.0,5,2
462979,1,0,18,0,1,1.0,2,2.0,5,4
462834,1,1,30,1,6,3.0,2,2.0,0,4
460764,1,0,86,0,7,1.0,2,1.0,5,4
460185,1,0,25,0,5,9.0,2,3.0,5,4
464406,0,0,39,1,0,0.0,2,1.0,5,1
462059,1,0,47,1,0,1.0,2,1.0,5,3
467905,1,1,43,1,4,0.0,1,3.0,5,4
461177,1,1,36,0,4,8.0,0,4.0,0,2
460765,1,1,80,0,7,1.0,2,1.0,5,4
465386,1,0,36,1,0,0.0,2,2.0,1,3
462332,0,1,37,1,0,1.0,1,2.0,6,1
464481,1,1,46,1,4,0.0,1,3.0,5,3
461011,1,1,55,0,4,1.0,1,4.0,2,2
464749,0,1,47,0,2,9.0,0,4.0,3,2
461094,0,0,28,1,5,1.0,2,3.0,2,4
462104,1,1,39,0,3,9.0,2,2.0,2,4
464524,0,1,27,0,8,1.0,2,2.0,5,1
461787,1,1,72,1,0,0.0,0,2.0,5,3
467857,0,1,28,1,2,0.0,2,2.0,5,1
460153,1,0,35,1,3,8.0,2,5.0,5,3
465215,1,1,39,1,4,9.0,1,5.0,1,1
466746,0,1,69,1,7,0.0,1,2.0,5,3
464857,1,0,18,0,5,6.0,2,4.0,3,4
460723,0,1,50,1,2,1.0,1,2.0,3,2
459853,1,0,30,0,4,5.0,2,5.0,5,1
460410,0,0,39,1,0,3.0,2,4.0,5,4
463823,0,0,29,0,8,8.0,2,4.0,5,4
462008,0,1,37,1,0,4.0,2,4.0,4,2
459750,0,1,39,1,2,0.0,0,2.0,5,1
459880,0,1,48,1,0,0.0,0,5.0,6,3
459261,0,0,32,1,1,0.0,2,3.0,5,3
465395,0,1,43,0,2,0.0,0,5.0,3,2
461631,1,0,29,0,8,8.0,2,5.0,5,3
464904,0,1,28,0,2,9.0,0,2.0,3,1
461740,1,1,80,1,7,1.0,2,1.0,5,2
467092,0,0,28,1,5,7.0,2,4.0,5,4
464173,1,1,71,1,0,6.0,0,3.0,5,3
464972,1,1,67,0,7,0.0,1,9.0,3,1
467959,0,0,26,0,2,0.0,2,1.0,1,1
467688,0,1,47,1,2,0.0,0,2.0,5,3
460043,0,1,43,1,0,2.0,0,2.0,5,2
466590,0,0,27,1,5,0.0,2,4.0,5,3
461191,0,1,45,1,8,8.0,2,4.0,5,4
465662,1,1,76,0,4,1.0,2,1.0,5,3
459231,0,1,43,1,0,3.0,0,4.0,5,3
466495,0,1,78,1,7,1.0,1,2.0,5,2
459192,1,1,35,1,0,3.0,0,3.0,5,3
465710,0,0,49,1,0,1.0,2,1.0,5,3
460258,0,0,25,1,5,1.0,2,5.0,5,4
462813,1,1,37,0,4,0.0,0,5.0,5,1
467768,1,1,60,1,1,0.0,0,2.0,5,3
465291,0,1,45,1,0,5.0,0,3.0,5,3
462996,0,1,49,1,6,9.0,0,3.0,5,3
463497,1,0,32,1,0,0.0,2,5.0,5,4
465301,0,1,40,1,0,0.0,2,3.0,2,2
464702,1,1,59,0,0,2.0,0,2.0,3,3
459012,1,1,48,1,0,3.0,2,5.0,5,2
465053,1,1,82,1,4,0.0,1,2.0,5,3
459420,0,1,70,1,7,0.0,2,2.0,5,2
464166,1,0,31,1,0,5.0,2,2.0,5,2
458987,0,1,72,1,7,0.0,1,2.0,5,3
467745,1,1,50,1,0,3.0,0,4.0,5,3
464866,0,0,23,0,2,11.0,2,1.0,2,4
461081,0,0,20,0,5,2.0,2,6.0,5,4
467896,0,0,22,0,5,4.0,2,3.0,5,4
463991,0,0,31,1,2,8.0,2,1.0,5,1
466620,0,1,36,1,0,7.0,0,2.0,5,3
460697,1,1,40,1,0,4.0,0,4.0,5,3
467934,0,0,40,1,0,1.0,2,1.0,5,1
467910,0,0,21,0,1,1.0,2,3.0,6,1
467335,0,1,41,0,2,4.0,0,2.0,5,4
460263,1,1,40,1,0,0.0,2,2.0,5,2
459340,1,1,53,1,0,1.0,0,3.0,5,2
465622,0,1,42,1,0,5.0,2,2.0,5,3
459395,1,1,42,0,4,8.0,2,2.0,5,4
466574,1,1,59,1,0,7.0,2,2.0,5,3
466544,1,1,41,1,4,1.0,0,3.0,5,1
463610,0,1,31,1,0,0.0,0,2.0,5,1
465539,0,1,49,1,0,1.0,1,5.0,5,2
459823,1,1,67,1,4,1.0,2,2.0,5,1
467614,1,1,35,0,0,4.0,0,2.0,5,2
459073,0,0,26,1,5,0.0,2,3.0,5,3
464863,0,1,25,0,2,6.0,0,8.0,3,4
460022,0,1,39,1,5,4.0,2,2.0,5,1
459929,1,1,63,1,3,0.0,2,2.0,5,1
466613,1,0,23,0,5,8.0,2,3.0,5,4
461149,0,0,23,0,5,0.0,2,3.0,2,4
466068,0,1,53,1,0,2.0,2,1.0,5,3
461513,1,0,33,1,1,0.0,2,2.0,5,2
466236,0,1,69,1,2,0.0,2,2.0,3,2
459664,1,0,37,1,0,2.0,2,1.0,5,2
461967,0,0,20,0,8,3.0,2,4.0,6,3
461710,0,1,49,1,1,1.0,0,4.0,5,3
462742,1,0,18,0,5,0.0,2,3.0,2,4
459528,0,1,52,1,1,0.0,0,2.0,5,3
467515,1,1,28,1,2,0.0,0,2.0,5,1
463429,0,0,28,1,0,7.0,2,3.0,5,1
464024,1,0,20,0,5,0.0,2,5.0,6,4
460691,0,0,27,0,6,8.0,2,1.0,2,4
467271,1,1,45,1,0,4.0,0,4.0,5,2
465634,1,0,25,1,5,1.0,2,4.0,3,2
464801,1,0,40,0,8,1.0,2,1.0,3,4
462036,0,1,67,1,7,0.0,1,2.0,5,2
460448,0,0,38,1,0,9.0,2,1.0,2,1
464464,1,0,28,0,5,0.0,2,4.0,1,3
462410,0,0,32,0,5,1.0,2,5.0,6,2
459756,0,1,56,0,7,1.0,1,4.0,3,2
463789,0,1,53,1,0,1.0,2,2.0,5,3
466947,1,1,57,0,4,1.0,1,5.0,5,3
464150,0,1,59,1,0,0.0,0,3.0,5,3
465693,0,1,25,1,5,1.0,1,4.0,3,1
461670,1,1,59,1,0,0.0,0,6.0,5,3
466768,0,1,36,1,0,0.0,2,4.0,5,3
461550,1,1,37,1,3,7.0,2,2.0,5,1
462438,1,0,22,0,1,1.0,2,3.0,1,4
460704,1,1,43,1,0,1.0,2,2.0,5,2
464884,1,1,41,1,0,1.0,2,2.0,3,1
467050,0,0,21,0,2,0.0,2,5.0,1,2
466176,1,0,38,1,1,8.0,2,1.0,1,2
467773,1,1,70,1,7,1.0,1,3.0,5,3
465425,0,0,31,0,2,1.0,2,4.0,5,2
462318,0,1,82,0,7,0.0,0,2.0,5,1
460197,1,0,38,1,0,8.0,2,3.0,1,1
459375,1,1,18,0,4,0.0,1,4.0,5,1
463862,1,1,50,1,0,6.0,0,3.0,5,3
462721,0,1,72,0,7,1.0,1,3.0,5,4
465809,0,0,25,0,6,1.0,2,7.0,3,2
466915,0,1,75,0,3,2.0,1,2.0,1,4
467343,1,0,72,1,0,1.0,2,1.0,5,2
466268,0,1,72,1,0,0.0,0,3.0,3,3
464868,1,1,36,1,3,6.0,2,6.0,3,1
464038,1,1,40,1,0,1.0,2,2.0,5,1
460176,0,0,28,1,3,0.0,2,4.0,5,3
462161,0,0,28,1,1,0.0,2,3.0,5,4
464893,1,1,43,1,0,0.0,2,2.0,3,2
464443,0,1,35,1,0,1.0,0,2.0,5,2
467619,1,1,65,1,7,1.0,1,2.0,5,2
465974,1,1,52,1,4,7.0,1,4.0,3,3
462075,0,0,40,1,0,1.0,2,1.0,5,2
459494,0,1,69,0,2,9.0,2,3.0,5,1
466921,0,0,22,0,5,3.0,2,3.0,5,4
463544,1,1,47,1,4,1.0,0,4.0,5,3
461167,1,1,29,1,8,1.0,1,2.0,2,1
467364,1,1,46,1,0,1.0,0,3.0,2,3
462408,1,0,32,1,0,1.0,2,2.0,5,1
466224,0,0,38,1,5,0.0,2,1.0,1,3
465151,1,1,59,1,0,0.0,2,1.0,5,2
467216,0,0,26,1,3,1.0,2,1.0,5,4
460586,1,0,26,1,5,1.0,2,2.0,2,1
461197,1,0,28,0,8,0.0,2,1.0,2,4
462776,0,1,53,1,2,1.0,0,3.0,5,3
464088,1,0,27,0,1,1.0,2,3.0,5,4
464695,1,0,26,0,2,0.0,2,4.0,3,4
462331,0,0,31,0,3,0.0,2,2.0,5,4
466523,1,1,39,1,4,1.0,1,3.0,2,2
465337,0,1,43,0,2,1.0,2,3.0,6,1
460834,1,1,25,0,1,1.0,2,2.0,0,1
466824,1,1,40,1,0,3.0,1,3.0,5,1
461607,0,1,40,1,3,7.0,0,2.0,2,2
466999,1,0,27,1,5,1.0,2,3.0,5,4
466597,0,0,19,0,5,1.0,2,2.0,5,4
464075,0,1,86,1,7,0.0,1,2.0,5,2
462163,0,1,27,1,0,4.0,0,2.0,2,3
463895,0,1,70,0,1,0.0,0,2.0,5,2
464767,0,1,53,0,2,8.0,0,4.0,3,2
463738,1,1,43,0,4,0.0,1,4.0,5,1
465967,1,1,36,0,1,6.0,2,3.0,5,1
462260,1,1,74,1,7,0.0,2,2.0,5,3
467234,0,0,30,0,6,0.0,2,4.0,5,4
466573,0,0,37,1,0,5.0,2,2.0,5,2
463229,0,0,22,0,8,0.0,2,1.0,4,2
459768,1,0,19,0,5,0.0,2,4.0,5,4
462541,1,1,70,1,2,4.0,1,2.0,5,2
467714,1,1,89,1,7,13.0,2,1.0,5,1
459474,1,0,25,1,1,6.0,2,1.0,1,4
460093,0,0,45,1,0,4.0,2,1.0,2,1
467865,0,0,35,1,0,3.0,2,1.0,3,1
465758,0,1,37,0,2,7.0,2,1.0,3,4
464184,0,1,39,0,2,4.0,0,2.0,5,2
462618,0,0,32,1,5,1.0,2,5.0,3,4
464226,0,1,62,1,0,2.0,0,3.0,5,3
465432,0,1,58,1,2,0.0,0,4.0,3,2
466627,1,0,25,0,5,0.0,2,5.0,5,3
467380,0,1,56,1,0,0.0,0,4.0,5,3
465842,0,0,36,1,3,10.0,2,2.0,5,1
464622,0,0,30,0,5,8.0,2,3.0,5,1
462083,1,0,19,0,5,1.0,2,5.0,5,4
460910,1,0,27,1,5,0.0,2,2.0,5,1
460255,0,0,38,1,1,14.0,2,1.0,5,1
460109,1,1,46,1,0,8.0,0,2.0,5,3
464306,1,0,29,1,0,3.0,2,1.0,5,2
466835,1,1,51,0,3,1.0,0,4.0,6,2
465192,1,1,55,0,0,0.0,2,1.0,5,1
463380,0,1,69,1,2,1.0,2,1.0,2,1
462391,0,0,26,0,5,1.0,2,8.0,6,3
467086,0,1,83,1,7,0.0,2,3.0,5,1
460306,0,0,39,1,5,9.0,2,1.0,5,4
460752,1,1,35,1,0,9.0,2,1.0,5,1
467264,1,1,19,0,8,2.0,1,5.0,5,3
466258,0,0,29,0,5,1.0,2,3.0,5,2
463719,0,0,26,0,1,0.0,2,1.0,5,4
460032,1,0,36,1,2,8.0,2,1.0,5,1
465175,0,0,22,0,6,0.0,2,4.0,5,4
466610,1,0,19,0,8,0.0,2,5.0,5,1
459036,0,1,20,1,7,1.0,0,3.0,2,1
464047,1,0,43,1,5,3.0,2,3.0,5,4
459997,1,0,43,1,3,1.0,2,2.0,3,1
463382,0,1,50,1,2,4.0,1,3.0,5,2
460967,1,0,25,1,3,1.0,2,2.0,5,1
465094,1,1,61,0,0,1.0,1,2.0,5,2
461229,0,1,28,1,5,0.0,0,2.0,5,1
466442,1,0,38,1,0,1.0,2,1.0,5,4
464527,1,0,25,0,4,12.0,2,3.0,5,1
463560,0,0,18,0,5,9.0,2,5.0,3,4
460011,1,1,43,1,3,1.0,0,5.0,4,3
467207,0,0,27,1,0,8.0,2,1.0,5,2
465177,0,0,60,1,3,1.0,2,2.0,5,4
467531,1,1,75,1,7,2.0,2,1.0,5,4
462842,1,0,23,0,1,6.0,2,4.0,1,4
462124,1,0,36,1,0,8.0,2,1.0,5,1
466265,1,0,30,0,1,1.0,2,1.0,2,3
459789,1,1,56,0,0,1.0,0,2.0,5,3
464223,0,1,52,1,0,2.0,2,2.0,5,3
460280,1,1,39,1,3,0.0,2,1.0,5,4
460331,0,0,35,0,0,5.0,2,1.0,5,1
461494,1,1,33,0,2,0.0,0,2.0,5,2
460035,0,0,25,1,0,0.0,2,6.0,5,1
463812,0,1,27,1,0,0.0,0,2.0,3,2
465569,1,1,35,1,0,1.0,1,3.0,5,1
466333,0,1,41,1,0,1.0,0,2.0,5,3
462723,0,1,46,0,0,8.0,0,2.0,5,2
462404,0,0,26,1,0,9.0,2,1.0,5,1
461799,1,1,43,1,1,13.0,1,2.0,5,2
459933,0,1,30,1,0,8.0,2,4.0,5,1
463717,0,1,70,1,0,1.0,0,4.0,5,3
462149,0,1,89,0,7,3.0,1,1.0,5,4
462769,0,1,42,0,6,6.0,1,4.0,5,2
465532,0,1,37,1,3,6.0,0,3.0,3,1
462829,1,1,29,0,4,1.0,0,3.0,5,4
459210,0,1,68,1,0,1.0,1,2.0,5,3
464659,0,0,25,0,2,1.0,2,1.0,3,4
467759,0,1,48,1,1,0.0,2,2.0,5,3
461475,0,1,51,1,1,1.0,0,3.0,0,3
462714,0,1,40,1,2,1.0,1,5.0,1,2
466890,1,1,47,1,0,0.0,0,6.0,6,2
467479,1,1,35,1,4,1.0,0,4.0,5,3
466799,0,0,19,0,5,2.0,2,3.0,5,4
460873,1,1,46,1,3,0.0,0,3.0,3,2
466776,1,1,86,1,7,0.0,2,1.0,5,2
459462,1,1,66,1,0,0.0,1,2.0,5,2
465727,1,0,42,0,8,1.0,2,5.0,3,4
462348,0,1,73,1,7,1.0,1,2.0,5,2
460941,1,1,72,0,2,1.0,2,1.0,5,1
461629,1,1,53,1,0,0.0,2,3.0,5,2
459907,0,1,39,1,0,8.0,0,2.0,5,3
467146,0,0,27,0,6,9.0,2,1.0,5,4
459196,0,0,23,0,5,1.0,2,3.0,3,4
465444,0,0,30,1,3,0.0,2,4.0,5,2
464186,0,1,39,1,0,5.0,0,2.0,5,3
466412,1,1,26,1,0,1.0,0,3.0,5,2
459480,0,1,50,1,3,7.0,2,3.0,5,1
467880,0,1,45,1,0,1.0,0,2.0,5,3
460216,0,0,62,0,3,2.0,2,1.0,5,1
467941,0,0,27,1,1,1.0,2,3.0,5,1
462572,0,1,30,0,2,1.0,0,7.0,3,1
467443,1,0,32,0,5,7.0,2,4.0,2,1
459701,1,0,47,0,0,3.0,2,3.0,4,2
461139,0,0,32,1,0,4.0,2,4.0,1,1
461115,0,1,32,0,2,5.0,2,3.0,0,1
459027,1,1,67,1,1,1.0,0,4.0,5,2
467340,0,1,77,1,7,0.0,1,2.0,5,3
460857,1,0,31,0,3,1.0,2,1.0,3,1
464300,1,1,42,1,0,0.0,2,3.0,3,1
463287,1,1,50,1,0,1.0,0,4.0,1,3
461392,1,1,71,1,0,0.0,0,5.0,5,3
461546,0,1,72,0,7,1.0,2,3.0,5,1
462130,1,1,45,1,0,9.0,0,2.0,5,3
464684,0,0,40,0,2,9.0,2,5.0,3,1
462276,0,0,36,1,2,4.0,2,1.0,5,1
462417,1,0,30,0,5,4.0,2,4.0,5,4
466463,0,0,29,1,5,2.0,2,4.0,3,2
464736,1,0,28,1,2,0.0,2,5.0,3,4
463855,0,1,40,1,0,1.0,0,2.0,5,3
460344,0,1,52,1,0,14.0,0,2.0,5,3
460139,1,0,26,0,0,6.0,2,6.0,4,4
464126,0,0,55,1,8,3.0,2,1.0,5,2
461286,0,0,20,0,1,4.0,2,4.0,5,4
461621,0,1,87,1,7,0.0,1,2.0,5,3
460163,1,0,28,0,5,0.0,2,2.0,3,1
461958,1,0,38,0,0,2.0,2,2.0,2,1
464875,1,1,42,0,3,1.0,2,2.0,3,2
464791,1,1,42,0,8,0.0,1,6.0,3,1
464579,0,0,29,0,2,1.0,2,4.0,5,4
463531,1,0,32,1,1,0.0,2,4.0,5,1
465486,0,1,59,0,0,1.0,1,2.0,5,3
460882,1,0,22,0,5,0.0,2,2.0,2,4
461298,0,1,78,1,0,1.0,1,2.0,5,3
461595,0,0,32,1,5,0.0,2,3.0,3,1
459260,1,1,37,1,0,0.0,0,4.0,6,3
462772,1,1,37,1,5,1.0,1,4.0,5,2
459143,1,1,47,0,0,0.0,1,4.0,5,2
464532,0,1,68,1,7,0.0,1,2.0,5,1
460056,1,0,30,1,5,3.0,2,5.0,0,3
466761,0,1,48,1,3,2.0,2,1.0,0,1
465469,0,0,43,1,0,6.0,2,1.0,5,3
461886,1,1,33,1,5,9.0,2,2.0,5,4
465680,1,1,31,0,5,0.0,0,5.0,3,4
459316,1,1,32,1,5,1.0,2,2.0,5,4
465609,0,0,21,0,5,1.0,2,4.0,1,4
467009,0,0,29,0,6,2.0,2,4.0,2,4
461766,0,1,35,1,0,1.0,2,2.0,3,1
464938,1,1,46,0,0,0.0,2,3.0,3,1
462034,0,1,38,1,0,9.0,1,2.0,1,2
464049,0,0,32,1,5,1.0,2,3.0,5,3
467925,0,0,28,1,0,3.0,2,7.0,1,1
463711,0,1,68,1,7,3.0,2,1.0,5,1
463846,0,1,45,1,0,4.0,2,1.0,5,3
462064,1,1,58,1,0,0.0,0,3.0,6,3
463249,1,0,28,0,3,1.0,2,2.0,6,1
464217,0,0,32,0,5,12.0,2,3.0,5,1
463378,1,0,30,1,1,1.0,2,1.0,2,2
463035,0,1,42,0,6,3.0,0,4.0,5,4
465309,0,0,18,0,5,6.0,2,4.0,6,4
462688,0,1,29,1,5,8.0,2,3.0,2,4
459255,0,0,33,1,5,0.0,2,3.0,5,1
467492,0,1,57,1,1,1.0,2,2.0,6,1
460789,1,1,36,1,4,1.0,2,3.0,5,4
467307,1,1,57,1,4,1.0,1,3.0,5,3
464026,1,0,18,0,5,1.0,2,2.0,5,4
462493,1,1,52,1,0,1.0,0,6.0,5,3
460452,0,1,37,1,3,0.0,0,2.0,0,2
459322,1,0,36,1,8,0.0,2,1.0,5,1
464066,0,0,29,1,5,9.0,2,3.0,3,1
461114,1,1,45,1,0,1.0,0,4.0,2,3
465165,1,0,61,1,0,0.0,2,1.0,5,2
464526,1,1,52,1,3,1.0,0,4.0,5,1
460666,0,1,49,1,6,14.0,2,1.0,5,1
464096,0,0,31,0,5,1.0,2,5.0,3,3
464891,1,1,42,0,3,1.0,2,3.0,3,1
460107,1,1,51,1,2,1.0,0,5.0,5,3
467708,0,0,42,1,5,8.0,2,1.0,6,4
461873,1,0,29,1,1,1.0,2,4.0,5,3
465181,0,0,33,1,5,8.0,2,1.0,3,1
467320,0,0,21,0,5,0.0,2,4.0,1,4
459468,1,1,35,0,0,9.0,0,3.0,5,2
467316,0,0,42,1,1,0.0,2,1.0,5,1
466182,0,0,41,1,0,2.0,2,1.0,5,3
463757,1,0,39,1,0,0.0,2,3.0,5,2
462314,0,0,28,0,1,14.0,2,1.0,5,1
466652,0,1,61,1,1,1.0,0,2.0,5,2
461664,1,1,62,1,0,0.0,0,4.0,5,3
464105,1,1,65,1,3,1.0,0,2.0,5,3
466790,1,1,45,1,1,1.0,0,2.0,2,1
463844,0,1,26,1,2,9.0,2,2.0,5,2
462913,0,0,25,1,0,4.0,2,5.0,5,3
465541,0,1,45,1,0,1.0,0,4.0,6,3
459149,1,1,43,0,4,0.0,1,4.0,5,2
464508,1,1,49,1,4,1.0,1,3.0,5,3
458999,1,1,55,1,0,1.0,0,2.0,5,3
459947,0,0,37,1,0,3.0,2,1.0,5,2
465500,1,1,65,1,3,1.0,1,2.0,5,3
466338,0,0,39,0,2,0.0,2,3.0,3,1
465122,0,1,40,1,0,2.0,0,2.0,5,3
465230,1,1,72,1,3,1.0,0,3.0,5,3
466369,0,0,38,0,6,5.0,2,1.0,1,2
463939,1,0,26,0,8,0.0,2,5.0,5,4
460825,1,0,30,1,1,1.0,2,3.0,3,4
463471,1,0,57,1,8,1.0,2,4.0,6,1
467415,0,0,31,1,5,1.0,2,1.0,5,4
465879,1,0,39,1,0,0.0,2,1.0,5,1
463961,0,0,30,0,2,0.0,2,4.0,3,1
462634,0,1,43,0,0,0.0,0,3.0,3,1
463622,1,0,27,1,5,8.0,2,1.0,2,3
466624,0,1,46,0,0,0.0,0,4.0,2,3
467785,1,1,43,0,0,1.0,2,2.0,5,2
460578,1,1,28,0,3,8.0,0,4.0,6,4
460198,1,0,43,1,3,9.0,2,1.0,5,4
463581,0,0,28,1,5,1.0,2,3.0,5,4
464574,1,0,58,0,5,4.0,2,2.0,5,4
462312,0,0,38,1,2,8.0,2,4.0,5,1
467971,0,0,31,1,0,1.0,2,4.0,5,4
464746,1,1,32,0,4,4.0,0,5.0,3,4
459298,1,1,45,1,0,4.0,0,4.0,5,3
466414,1,1,66,1,0,1.0,2,3.0,5,1
460773,0,1,51,1,0,1.0,0,3.0,5,3
465163,1,1,46,1,0,11.0,0,5.0,5,3
462222,1,0,20,0,5,1.0,2,6.0,3,4
459342,0,1,84,0,7,1.0,1,2.0,5,3
460767,1,1,57,1,3,8.0,0,5.0,1,1
464319,0,0,33,0,1,0.0,2,1.0,5,1
462828,1,0,25,0,8,3.0,2,3.0,4,4
465155,1,1,77,1,7,1.0,2,1.0,5,3
461704,1,1,30,1,5,1.0,2,2.0,5,1
464826,1,0,23,0,5,6.0,2,5.0,3,4
462677,0,0,43,1,0,2.0,2,4.0,5,2
465006,1,0,39,1,3,5.0,2,1.0,5,1
463483,1,1,29,0,4,1.0,1,2.0,5,4
459002,0,1,45,0,2,2.0,2,2.0,5,4
465990,1,1,48,0,4,2.0,1,2.0,1,4
466044,1,1,27,0,3,0.0,0,4.0,5,1
461163,0,1,60,0,3,9.0,2,4.0,2,2
467106,1,1,45,1,3,4.0,0,3.0,1,2
461256,1,0,33,0,1,1.0,2,4.0,3,3
462695,1,1,51,1,0,8.0,2,5.0,5,1
466208,1,1,67,0,4,2.0,1,1.0,5,3
462128,1,1,38,1,0,9.0,0,2.0,5,3
467329,0,0,40,1,1,0.0,2,1.0,5,3
461609,0,1,45,1,0,5.0,0,2.0,5,2
464470,1,1,48,1,0,0.0,0,4.0,5,3
462705,0,1,69,0,7,0.0,0,2.0,5,3
465255,1,0,21,0,5,9.0,2,5.0,5,4
466018,1,1,72,1,0,0.0,2,3.0,3,3
459115,0,0,21,0,8,1.0,2,5.0,3,4
461263,0,1,48,1,0,1.0,2,1.0,3,1
460366,1,0,28,0,5,1.0,2,5.0,3,4
464106,1,1,55,1,3,1.0,2,2.0,5,1
465696,0,0,56,1,0,0.0,2,2.0,5,3
461627,1,1,50,1,1,1.0,2,2.0,5,3
467963,1,0,21,0,5,1.0,2,4.0,5,4
462437,1,0,18,0,5,0.0,2,6.0,5,4
467543,1,1,68,1,7,0.0,1,2.0,5,2
465206,1,1,47,1,0,13.0,2,1.0,5,3
463040,1,1,75,0,7,1.0,1,2.0,5,2
461668,1,1,50,1,0,3.0,0,4.0,1,3
